Dimension,B_Sparsity,C_Sparsity,Unzipper_Time1,Unzipper_Time2,Unzipper_Time7,Unzipper_Time8,Unzipper_Time13,Unzipper_Time14
3793,50,25,4.43061,4.32114,4.50864,4.31247,4.31972,4.47727,
4833,50,25,9.50721,8.9317,9.5524,8.89197,8.92077,9.48712,
6158,50,25,20.4374,18.355,20.4843,18.3407,18.3701,20.4142,
7848,50,25,43.2253,37.9357,43.4903,37.9003,38.0015,43.2088,
10000,50,25,89.2613,78.4497,89.3997,77.8342,78.5799,89.8011,
100,50,50,0.000180856,0.000171638,0.000183669,0.000183347,0.000174994,0.000170854,
127,50,50,0.000348854,0.000333126,0.000354322,0.000348248,0.000337099,0.000334794,
162,50,50,0.000809112,0.000653683,0.00069407,0.000679125,0.000663269,0.000656201,
207,50,50,0.00143407,0.00133768,0.00142046,0.00138108,0.00135615,0.00135574,
264,50,50,0.00288513,0.00268957,0.0028361,0.00275148,0.00271485,0.00272073,
336,50,50,0.00578352,0.00570013,0.00588627,0.00552709,0.00545959,0.00564237,
428,50,50,0.0116685,0.0109926,0.0115897,0.0118325,0.0112688,0.0111626,
546,50,50,0.0239285,0.0234654,0.0233959,0.022936,0.0226878,0.0228489,
695,50,50,0.0488347,0.0473377,0.04799,0.0471136,0.046584,0.0468909,
886,50,50,0.0985879,0.0955833,0.0983607,0.0958914,0.0958143,0.0969774,
1129,50,50,0.20299,0.197103,0.204693,0.197634,0.197935,0.200555,
1438,50,50,0.425506,0.404534,0.423777,0.40537,0.406667,0.420055,
1833,50,50,0.885089,0.836328,0.867221,0.82069,0.8247,0.86118,
2336,50,50,1.78738,1.69757,1.78805,1.69068,1.70235,1.78639,
2976,50,50,3.74782,3.57648,3.75721,3.56044,3.57349,3.7298,
